Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-12-01 16:09:36Z : PB = 370659328 : In   : ---------------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2022-12-01 16:09:39Z : PB = 392306688 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:39Z : PB = 399126528 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:39Z : PB = 399126528 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:39Z : PB = 399126528 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:39Z : PB = 399126528 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:39Z : PB = 399126528 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:40Z : PB = 399126528 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:40Z : PB = 399126528 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:40Z : PB = 399126528 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:40Z : PB = 405123072 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:40Z : PB = 405123072 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:40Z : PB = 405123072 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:40Z : PB = 405123072 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:40Z : PB = 405123072 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:40Z : PB = 405127168 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:40Z : PB = 405127168 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:40Z : PB = 405127168 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:40Z : PB = 411332608 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:40Z : PB = 411463680 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:40Z : PB = 411529216 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:40Z : PB = 411529216 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:40Z : PB = 411529216 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:40Z : PB = 411529216 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:40Z : PB = 411529216 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:40Z : PB = 411529216 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:40Z : PB = 417579008 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:40Z : PB = 402948096 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:40Z : PB = 402948096 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:40Z : PB = 402948096 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:40Z : PB = 402948096 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:40Z : PB = 402968576 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:40Z : PB = 402968576 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:40Z : PB = 402968576 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:40Z : PB = 405004288 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:40Z : PB = 405004288 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:40Z : PB = 405004288 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:40Z : PB = 405004288 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:40Z : PB = 405004288 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:40Z : PB = 405004288 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:40Z : PB = 405004288 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:40Z : PB = 405004288 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:40Z : PB = 405135360 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:40Z : PB = 405135360 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:40Z : PB = 405135360 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:40Z : PB = 405135360 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:40Z : PB = 405135360 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:40Z : PB = 405139456 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:40Z : PB = 405139456 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:40Z : PB = 405139456 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:40Z : PB = 395190272 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:40Z : PB = 395190272 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:40Z : PB = 395190272 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:40Z : PB = 395190272 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:40Z : PB = 395190272 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:40Z : PB = 395198464 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:40Z : PB = 395198464 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:40Z : PB = 395198464 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:41Z : PB = 396525568 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:41Z : PB = 396591104 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:41Z : PB = 396722176 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:41Z : PB = 396787712 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:41Z : PB = 396853248 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:41Z : PB = 396058624 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:41Z : PB = 396058624 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:41Z : PB = 396058624 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:41Z : PB = 399650816 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:41Z : PB = 399650816 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:41Z : PB = 399650816 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:41Z : PB = 399650816 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:41Z : PB = 399650816 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:41Z : PB = 399659008 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:41Z : PB = 399659008 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:41Z : PB = 399659008 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:41Z : PB = 405209088 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:41Z : PB = 405340160 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:41Z : PB = 405405696 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:41Z : PB = 405471232 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:41Z : PB = 405602304 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:41Z : PB = 403050496 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:41Z : PB = 403050496 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:41Z : PB = 403050496 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:41Z : PB = 406556672 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:41Z : PB = 406556672 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:41Z : PB = 406556672 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:41Z : PB = 406556672 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:41Z : PB = 406556672 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:41Z : PB = 406556672 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:41Z : PB = 406556672 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:41Z : PB = 406556672 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:41Z : PB = 409944064 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:41Z : PB = 409944064 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:41Z : PB = 409944064 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:41Z : PB = 409944064 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:41Z : PB = 409944064 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:41Z : PB = 409948160 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:41Z : PB = 409948160 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:41Z : PB = 409948160 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:41Z : PB = 394682368 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:41Z : PB = 394682368 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:41Z : PB = 394682368 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:41Z : PB = 394682368 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:41Z : PB = 394682368 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:41Z : PB = 394690560 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:41Z : PB = 394690560 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:41Z : PB = 394690560 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:41Z : PB = 398729216 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:41Z : PB = 398729216 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:41Z : PB = 398729216 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:41Z : PB = 398729216 : Out  : --------- StyleCop.StyleCopThread.DoWork()
2022-12-01 16:09:41Z : PB = 398729216 : Out  : -------- StyleCop.StyleCopCore.RunWorkerThreads()=True
2022-12-01 16:09:41Z : PB = 398729216 : Out  : ------- StyleCop.StyleCopCore.Analyze()
2022-12-01 16:09:41Z : PB = 398729216 : Out  : ------ StyleCop.StyleCopCore.FullAnalyze()
2022-12-01 16:09:41Z : PB = 398729216 : In   : ------ StyleCop.VisualStudio.AnalysisHelper.AnalyzeComplete(sender=[AnalysisThread], e=[EventArgs])
2022-12-01 16:09:41Z : PB = 398733312 : In   : ------- StyleCop.VisualStudio.AnalysisHelper.AnalyzeCompleteMain(sender=[AnalysisThread], e=[EventArgs])
2022-12-01 16:09:44Z : PB = 398417920 : Out  : ------- StyleCop.VisualStudio.AnalysisHelper.AnalyzeCompleteMain()
2022-12-01 16:09:44Z : PB = 398422016 : Out  : ------ StyleCop.VisualStudio.AnalysisHelper.AnalyzeComplete()
2022-12-01 16:09:44Z : PB = 398422016 : Out  : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2022-12-01 16:10:23Z : PB = 393732096 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2022-12-01 16:10:23Z : PB = 393834496 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2022-12-01 16:10:23Z : PB = 393834496 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 2])
2022-12-01 16:10:23Z : PB = 393834496 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 2], ignoreCache=True, settingsPath=<null>)
2022-12-01 16:10:23Z : PB = 393838592 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2022-12-01 16:10:23Z : PB = 393838592 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2022-12-01 16:10:23Z : PB = 393838592 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2022-12-01 16:10:23Z : PB = 393838592 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:10:23Z : PB = 393842688 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:10:23Z : PB = 393842688 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:10:23Z : PB = 393842688 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:10:23Z : PB = 393842688 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:10:23Z : PB = 399532032 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:10:23Z : PB = 399532032 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:10:23Z : PB = 399532032 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:10:23Z : PB = 399532032 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:10:23Z : PB = 399532032 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:10:23Z : PB = 399532032 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:10:23Z : PB = 399536128 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:10:23Z : PB = 399536128 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:10:23Z : PB = 402919424 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:10:23Z : PB = 402919424 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:10:23Z : PB = 402919424 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:10:23Z : PB = 402919424 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:10:23Z : PB = 402919424 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:10:23Z : PB = 402919424 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
